,Day_of_week,Age_band_of_driver,Sex_of_driver,Educational_level,Vehicle_driver_relation,Driving_experience,Type_of_vehicle,Owner_of_vehicle,Area_accident_occured,Lanes_or_Medians,Road_allignment,Types_of_Junction,Road_surface_type,Road_surface_conditions,Light_conditions,Weather_conditions,Type_of_collision,Vehicle_movement,Casualty_class,Sex_of_casualty,Age_band_of_casualty,Casualty_severity,Pedestrian_movement,Cause_of_accident
933,2,0,1,4,0,1,4,3,7,4,5,1,0,3,3,2,8,2,0,1,0,2,5,0
934,2,1,1,4,0,2,3,3,9,4,5,1,0,3,3,2,8,7,3,2,5,3,5,12
935,2,0,1,4,0,2,16,3,9,2,5,1,0,3,3,2,8,2,0,1,1,2,5,1
936,2,0,1,4,0,3,3,3,7,2,5,7,1,3,0,2,8,2,2,1,4,2,0,10
937,2,2,1,1,0,2,3,3,7,2,5,7,0,3,0,2,8,7,3,2,5,3,5,9
938,2,2,1,4,0,2,10,3,7,4,5,7,0,3,0,2,2,2,0,1,1,1,5,9
939,6,1,1,4,0,3,0,3,7,0,5,1,0,3,3,2,6,3,3,2,5,3,5,10
940,6,0,1,1,2,2,0,3,9,2,5,1,0,3,3,2,8,3,0,1,1,2,5,10
941,6,0,1,4,2,2,8,3,1,4,5,1,0,3,3,2,1,2,2,0,4,2,6,10
942,4,0,1,4,0,2,0,3,7,6,5,0,0,3,0,4,8,2,0,0,3,2,5,11
943,4,0,2,4,0,4,14,3,6,4,5,0,0,3,0,4,8,2,0,0,0,2,5,3
944,4,2,1,4,0,2,0,3,7,4,5,0,0,3,0,4,1,2,3,2,5,3,5,1
945,2,0,1,4,0,2,0,3,6,4,5,7,0,0,3,2,1,2,0,0,0,2,5,0
946,2,1,1,4,0,2,0,3,6,1,5,7,0,0,3,2,8,2,3,2,5,3,5,3
947,2,1,1,4,0,3,3,3,6,4,5,7,0,0,3,2,8,2,0,1,1,2,5,3
948,2,1,1,2,0,3,10,3,7,4,5,7,0,0,3,2,8,2,1,0,3,2,5,10
949,4,0,1,4,0,3,10,0,7,0,5,1,0,0,0,2,8,2,2,1,4,2,0,13
950,4,0,1,4,0,3,4,3,6,3,5,1,0,0,0,2,8,2,3,2,5,3,5,1
951,5,0,1,4,0,3,4,3,9,6,5,1,0,0,0,2,2,2,0,1,0,2,5,1
952,5,0,1,4,0,3,8,0,1,4,5,1,0,0,0,2,8,6,3,2,5,3,5,10
953,4,2,1,4,0,2,0,3,7,6,5,7,0,3,0,4,8,2,0,1,3,2,5,10
954,6,1,1,4,0,1,0,3,9,6,5,3,0,0,3,2,8,2,0,1,4,2,5,17
955,6,2,1,4,0,4,0,3,7,6,5,3,0,0,3,2,8,2,3,2,5,3,5,2
956,6,2,1,4,0,4,3,3,7,6,5,3,0,0,3,2,8,2,3,2,5,3,5,12
957,5,0,1,4,0,1,3,3,7,1,5,0,0,0,3,2,8,2,0,1,4,1,5,11
958,5,0,1,1,0,4,0,3,7,2,5,0,0,0,3,2,8,2,1,1,0,2,5,12
959,5,0,1,4,0,4,14,3,7,6,5,0,0,0,3,2,8,9,0,1,4,2,5,13
960,4,0,1,4,0,2,0,3,12,4,5,7,0,0,0,2,8,2,2,1,0,2,6,13
961,4,1,1,4,0,2,7,3,6,2,5,1,0,0,3,2,8,2,1,0,1,2,5,9
962,4,1,1,6,0,4,13,3,6,2,5,1,0,0,3,2,8,11,0,1,1,2,5,10
963,5,0,1,4,0,4,5,3,6,2,5,1,0,0,3,2,8,3,3,2,5,3,5,9
964,0,0,1,4,0,0,8,3,12,2,5,7,0,3,3,2,8,2,0,1,0,2,5,12
965,0,0,1,1,0,3,4,0,12,4,5,7,0,3,3,2,8,3,3,2,5,3,5,3
966,0,0,1,1,0,3,5,3,6,2,5,7,0,3,3,2,8,9,3,2,5,3,5,10
967,6,0,1,1,0,4,6,3,6,2,5,1,0,0,3,2,2,2,0,1,0,2,5,13
968,6,1,1,2,0,1,0,0,12,2,5,1,0,0,3,2,8,2,1,1,4,2,5,1
969,6,1,1,4,0,1,0,3,7,2,5,1,0,0,3,2,8,11,1,1,4,2,5,10
970,0,2,1,0,0,3,0,3,7,2,5,1,0,0,3,2,8,2,3,2,5,3,5,3
971,0,1,1,4,0,1,14,3,7,4,5,1,0,0,3,2,8,2,3,2,5,3,5,10
972,5,1,1,4,0,1,0,3,7,2,5,7,0,0,3,2,1,2,0,0,1,2,5,12
973,5,1,1,2,0,0,11,3,9,4,5,7,0,0,3,2,8,2,1,0,0,2,5,1
974,5,1,1,4,0,2,11,0,7,4,5,7,0,0,3,2,8,7,1,0,4,2,5,11
975,5,0,1,4,0,4,14,3,7,4,5,7,0,0,3,2,8,2,3,2,5,3,5,12
976,4,0,1,4,0,4,0,3,4,4,5,7,0,0,3,2,8,2,0,1,3,2,5,0
977,5,1,1,1,0,2,2,3,1,4,5,0,0,3,3,8,8,2,0,1,0,2,5,18
978,3,1,1,4,0,4,0,3,2,2,5,1,0,0,3,2,8,9,3,2,5,3,5,4
979,3,2,1,4,0,0,5,3,6,2,5,1,0,0,3,2,8,7,0,0,3,2,5,3
980,3,3,1,1,0,1,0,3,7,2,5,1,0,0,3,2,8,2,0,1,3,2,5,4
981,4,2,1,2,0,0,10,3,6,4,5,7,0,0,3,2,1,2,3,2,5,3,5,3
982,4,1,1,4,0,2,13,3,6,2,5,7,0,0,3,2,8,9,0,1,1,2,5,11
983,4,0,1,4,0,4,0,3,7,2,5,1,0,0,3,2,8,3,3,2,5,3,5,3
984,4,1,1,2,0,3,10,3,9,4,5,1,0,0,3,2,8,2,1,0,0,2,5,1
985,0,4,0,1,2,2,0,3,6,6,7,1,0,0,3,2,8,2,3,2,5,3,5,9
986,0,4,0,1,0,4,5,3,9,6,5,1,0,0,3,2,2,2,0,0,1,2,5,3
987,0,4,0,4,0,2,5,3,12,2,5,1,0,0,3,2,8,7,1,0,4,2,5,1
988,3,1,1,1,2,2,9,3,6,2,2,1,0,0,3,2,8,2,3,2,5,3,5,3
989,0,0,1,4,0,1,5,3,7,6,5,5,0,0,3,2,8,2,0,1,1,2,5,3
990,0,0,1,4,0,3,5,3,7,4,5,5,0,0,3,2,8,2,3,2,5,3,5,3
991,0,0,1,4,0,2,9,3,2,6,5,5,0,0,3,2,8,6,1,0,3,2,5,1
992,0,1,2,2,0,0,11,3,6,2,5,5,0,0,3,2,8,2,3,2,5,3,5,1
993,6,2,1,1,0,2,0,3,7,2,5,7,0,3,3,8,8,2,2,1,3,2,6,3
994,6,1,1,1,0,1,8,3,6,2,6,7,0,3,3,8,2,11,3,2,5,3,5,16
995,2,0,1,4,0,4,14,3,6,2,5,0,0,0,0,2,8,2,0,1,3,2,5,1
996,2,1,1,4,0,4,7,3,6,2,2,0,0,0,0,2,8,2,1,0,3,2,5,10
997,4,0,1,4,0,2,0,3,2,4,2,7,0,0,3,7,8,8,3,2,5,3,5,13
998,5,2,1,4,2,2,0,3,6,4,1,1,0,0,3,2,8,2,2,1,4,1,6,1
999,5,1,1,1,0,0,14,3,7,0,1,1,0,0,3,2,6,5,3,2,5,3,5,1
1000,1,2,1,4,0,2,8,3,7,2,5,1,0,0,3,2,8,2,0,1,1,2,5,16
1001,1,2,1,1,0,3,5,3,2,5,7,1,1,0,3,2,8,7,3,2,5,3,5,13
1002,4,0,1,4,2,0,0,3,12,4,5,1,0,0,3,2,2,2,0,0,1,2,5,4
1003,3,1,1,4,0,2,0,3,2,2,5,3,0,0,3,2,8,2,0,1,0,2,5,16
1004,3,1,1,4,0,3,5,3,6,4,5,3,0,0,3,2,8,11,3,2,5,3,5,12
1005,3,1,2,1,2,1,5,3,7,6,5,5,0,0,3,2,8,2,0,1,4,2,5,9
1006,3,1,1,4,0,2,5,3,2,2,4,5,3,0,3,2,2,3,0,1,3,1,5,13
1007,3,2,1,4,0,4,8,0,7,0,5,5,0,0,3,2,2,2,3,2,5,3,5,12
1008,3,0,1,4,0,2,8,0,7,0,5,7,0,0,3,2,8,3,3,2,5,3,5,11
1009,3,1,1,2,0,3,0,1,6,2,1,7,0,0,3,2,8,2,0,1,3,2,5,1
1010,3,1,1,4,0,2,7,1,7,2,5,7,0,0,3,2,2,2,2,1,4,2,1,1
1011,0,0,1,1,0,0,0,3,7,2,5,7,0,0,3,2,2,11,3,2,5,3,5,1
1012,0,0,1,4,0,2,0,0,9,2,5,7,0,0,3,2,8,2,3,2,5,3,5,4
1013,2,0,1,1,0,0,6,3,6,2,5,7,0,0,0,2,8,2,0,1,1,1,5,0
1014,2,1,1,4,2,0,0,3,2,1,5,7,0,0,0,2,8,2,2,0,4,2,3,9
1015,2,1,1,0,2,0,0,3,7,4,5,7,0,0,0,2,2,9,2,0,4,1,3,2
1016,2,0,1,4,2,2,9,3,0,6,3,7,0,0,0,2,8,2,3,2,5,3,5,9
1017,5,1,1,0,0,0,0,3,9,2,5,7,0,0,3,2,3,2,0,0,3,2,5,10
1018,5,0,1,4,0,3,11,3,6,4,5,7,0,0,3,2,8,2,0,1,0,2,5,13
1019,0,0,1,4,0,0,5,3,1,6,5,1,0,0,3,2,2,7,1,1,1,1,5,12
1020,0,1,1,4,0,2,11,0,6,6,6,1,2,0,3,2,8,1,3,2,5,3,5,1
1021,6,0,2,4,0,1,0,3,4,6,5,7,0,0,3,2,8,2,2,1,4,1,2,13
1022,6,0,1,4,0,2,0,3,7,2,5,7,0,0,3,2,8,1,0,1,0,2,5,10
1023,3,0,1,4,0,1,0,3,9,4,5,1,0,0,0,2,8,2,0,1,4,2,5,3
1024,2,0,1,4,0,1,0,0,9,6,5,0,0,0,3,2,8,2,1,0,0,2,5,10
1025,2,0,1,4,0,3,5,3,4,6,5,0,2,0,3,2,3,2,0,1,0,2,5,9
1026,6,2,1,4,0,0,0,3,9,4,5,1,0,3,3,2,3,2,3,2,5,3,5,10
1027,6,1,1,0,2,0,10,3,9,6,5,1,0,3,3,2,0,2,0,1,0,2,5,9
1028,6,0,1,0,0,5,0,3,6,4,5,1,2,3,3,2,0,2,0,1,1,2,5,11
1029,2,4,0,4,0,0,11,3,6,0,0,7,0,0,3,2,0,2,3,2,5,3,5,0
1030,4,0,1,4,0,2,5,3,6,6,5,7,0,0,3,2,0,2,0,0,0,2,5,10
1031,3,1,1,4,0,3,0,3,6,4,0,0,0,0,3,2,0,2,1,1,4,2,5,13
1032,3,1,1,4,0,3,4,3,6,1,5,0,0,0,3,2,0,3,1,1,4,2,5,10
1033,4,3,1,4,2,2,10,3,6,4,5,0,0,0,0,2,0,2,3,2,5,3,5,11
1034,4,3,1,1,0,1,10,3,6,6,5,0,0,0,0,2,0,2,3,2,5,3,5,9
1035,4,1,1,4,0,1,0,3,9,6,5,7,0,0,3,7,0,2,0,1,0,1,5,11
1036,4,3,1,4,0,4,3,3,9,1,5,7,0,0,3,7,0,2,2,0,3,1,5,10
1037,2,0,1,4,0,1,5,3,7,1,5,0,0,0,0,2,0,2,1,0,0,2,5,11
1038,2,0,1,4,0,1,4,3,2,4,5,0,0,0,0,2,0,2,3,2,5,3,5,9
1039,0,2,1,1,0,2,5,3,1,6,5,1,0,3,3,4,5,2,3,2,5,3,5,16
1040,0,1,1,4,0,3,9,3,4,4,5,1,0,3,3,4,6,2,0,1,0,2,5,0
1041,3,0,1,4,0,2,0,3,9,6,5,7,1,3,3,2,0,2,0,1,0,2,5,1
1042,3,2,1,4,0,1,15,3,9,6,8,7,0,3,3,2,6,2,0,0,0,2,5,16
1043,1,0,1,4,0,2,0,3,6,0,5,1,0,3,3,2,0,2,3,2,5,3,5,14
1044,1,1,1,0,0,1,0,3,0,4,5,1,0,3,3,2,0,2,0,1,1,2,5,13
1045,3,1,1,4,0,2,0,3,13,6,5,7,0,0,3,2,8,2,3,2,5,3,5,12
1046,3,1,1,4,0,0,5,3,4,6,5,7,0,0,3,2,4,2,3,2,5,3,5,1
1047,3,3,1,4,0,1,0,3,9,3,5,7,0,0,3,2,3,2,2,1,1,2,3,9
1048,3,3,1,4,0,3,0,0,9,4,5,7,0,0,3,2,3,2,1,1,0,2,5,0
1049,2,0,1,4,0,4,5,3,7,4,5,5,0,0,3,2,6,2,3,2,5,3,5,11
1050,3,1,1,4,0,1,0,0,9,6,5,1,0,0,3,2,0,7,3,2,5,3,5,10
1051,5,1,1,4,0,4,0,3,10,4,1,0,0,0,3,2,0,2,3,2,5,3,5,12
1052,6,0,1,2,0,2,0,3,10,4,1,7,0,0,3,2,4,2,0,0,0,2,5,10
1053,6,1,1,0,0,0,15,3,6,0,5,7,0,0,3,2,3,2,0,0,1,2,5,10
1054,6,1,1,4,0,4,0,3,9,4,1,7,0,0,3,2,0,11,0,0,1,2,5,9
1055,0,2,1,4,0,2,0,3,9,6,5,0,0,0,3,2,0,2,0,1,1,2,5,1
1056,0,1,1,2,0,4,0,3,5,6,5,0,0,0,3,2,1,2,3,2,5,3,5,11
1057,4,0,1,2,0,4,8,3,9,6,5,1,0,0,3,2,8,2,0,0,1,2,5,9
1058,5,1,1,4,0,2,0,3,2,6,5,0,0,3,3,2,8,2,3,2,5,3,5,7
1059,5,1,1,2,0,1,0,3,6,4,5,0,0,3,3,2,1,2,3,2,5,3,5,16
1060,3,4,0,4,0,3,9,3,6,2,7,0,0,0,0,2,8,2,0,0,4,2,5,14
1061,3,3,1,4,0,3,10,0,6,2,0,0,3,0,0,2,2,11,0,1,4,2,5,1
1062,4,0,1,4,0,2,4,3,7,4,7,1,0,0,3,2,8,3,3,2,5,3,5,8
1063,4,0,1,4,0,0,14,3,7,4,5,1,0,0,3,2,8,2,0,0,3,1,5,13
1064,6,0,1,5,0,4,12,3,9,2,5,1,0,0,3,2,8,9,0,1,4,2,5,0
1065,6,1,1,4,0,4,14,3,7,2,5,1,0,0,3,2,6,9,3,2,5,3,5,1
1066,0,2,1,2,0,1,0,3,7,4,6,3,0,0,3,2,8,7,0,0,0,2,5,11
1067,0,1,1,4,2,0,0,3,7,2,5,3,0,0,3,2,8,7,3,2,5,3,5,15
1068,4,1,2,4,0,2,7,0,7,4,5,0,0,0,3,2,8,7,3,2,5,3,5,0
1069,4,0,1,1,0,1,15,3,7,0,6,0,0,0,3,2,1,3,2,0,4,2,6,12
1070,4,0,0,1,2,2,0,3,7,2,5,7,0,0,3,2,8,2,3,2,5,3,5,1
1071,4,1,1,4,0,3,14,3,2,2,5,7,0,0,3,2,2,2,0,0,0,2,5,10
1072,1,1,2,4,0,2,0,3,7,4,5,0,0,3,3,2,8,2,2,0,3,1,6,11
1073,1,1,1,2,0,2,9,1,4,2,5,0,0,3,3,2,6,2,2,1,4,2,6,10
1074,4,0,1,4,0,2,0,3,9,0,5,7,0,0,3,2,8,2,3,2,5,3,5,12
1075,4,1,1,4,0,3,0,0,7,2,5,7,0,0,3,2,8,2,3,2,5,3,5,13
1076,4,1,1,4,0,0,5,3,6,2,5,7,3,0,3,2,8,2,0,1,0,2,5,3
1077,4,1,1,4,0,1,0,3,4,5,5,7,0,0,3,2,8,2,3,2,5,3,5,0
1078,0,0,1,4,0,0,11,3,4,0,5,3,0,0,3,2,8,2,0,0,0,2,5,3
1079,0,3,1,4,0,2,0,3,7,2,5,3,0,0,3,2,2,2,3,2,5,3,5,0
1080,0,0,1,1,0,2,9,1,3,2,5,3,0,0,3,2,8,2,0,1,0,2,5,12
1081,3,2,1,4,0,2,9,3,6,1,5,0,2,0,3,2,8,2,3,2,5,3,5,10
1082,3,1,1,4,0,3,0,3,2,4,5,0,0,0,3,2,2,2,0,1,1,2,5,1
1083,3,4,0,4,0,1,0,1,3,4,7,1,0,0,0,2,2,2,3,2,5,3,5,1
1084,3,2,1,4,2,3,0,3,6,6,5,1,0,0,0,2,8,2,3,2,5,3,5,2
1085,3,2,1,4,0,1,5,3,7,2,0,1,3,0,0,2,8,2,0,1,3,2,5,10
1086,3,3,1,1,1,2,9,3,6,4,5,1,0,0,0,2,8,2,0,1,4,2,5,1
1087,3,3,1,1,0,2,4,3,6,2,7,1,0,0,0,2,8,2,1,1,4,1,5,0
1088,3,1,1,4,0,2,0,3,7,0,3,1,0,0,0,2,2,2,1,1,4,2,5,7
1089,1,0,1,4,0,2,0,3,6,4,6,7,2,0,0,2,8,2,3,2,5,3,5,13
1090,1,0,1,1,0,3,0,3,9,4,5,7,0,0,0,2,8,2,3,2,5,3,5,13
1091,1,1,2,4,0,4,1,3,7,2,5,1,0,3,3,4,8,9,0,1,4,2,5,10
1092,1,0,1,4,0,2,9,3,6,0,5,1,0,3,3,4,8,7,0,1,0,2,5,12
1093,6,2,1,1,0,0,4,3,6,4,7,0,0,0,3,2,8,3,0,1,1,2,5,16
1094,6,1,1,4,0,2,0,3,6,6,5,0,0,0,3,2,8,2,2,1,0,1,0,11
1095,6,1,1,4,0,3,0,3,7,2,6,0,2,0,3,2,2,3,3,2,5,3,5,10
1096,5,1,1,2,2,1,0,3,2,4,5,0,0,0,3,2,8,2,0,1,3,2,5,1
1097,5,0,1,4,0,0,4,3,4,4,5,0,0,0,3,2,1,2,2,0,4,0,6,3
1098,1,0,2,4,0,0,5,3,6,0,5,0,0,0,3,2,2,2,2,1,4,2,6,1
1099,1,1,1,0,2,1,8,3,2,4,5,0,0,0,3,2,2,2,0,0,1,2,5,16
1100,1,1,1,4,0,2,4,3,6,4,5,1,0,0,3,2,8,2,0,1,3,2,5,13
1101,1,1,1,1,2,1,14,3,6,6,5,1,0,0,3,2,6,11,3,2,5,3,5,4
1102,2,1,1,4,0,0,7,3,9,2,5,7,0,0,3,2,8,2,0,1,0,2,5,2
1103,2,0,1,4,2,2,7,3,6,2,5,7,0,0,3,2,8,11,0,1,0,1,5,19
1104,2,0,1,4,0,4,4,3,9,4,5,7,0,0,3,2,8,2,1,0,0,1,5,1
1105,1,1,1,4,0,1,0,3,6,0,5,7,0,3,3,4,8,3,1,0,4,0,5,10
1106,1,1,1,4,0,2,0,3,6,0,5,7,0,3,3,4,8,2,0,1,0,2,5,13
1107,0,1,1,4,0,3,5,3,7,2,5,1,2,0,3,2,8,2,2,0,1,2,6,12
1108,0,0,1,1,0,1,7,3,7,2,5,1,0,0,3,2,8,3,2,1,3,2,5,0
1109,0,0,1,1,2,3,5,3,9,2,5,1,0,0,3,2,8,2,3,2,5,3,5,11
1110,0,1,2,4,0,0,0,3,2,2,5,1,0,0,3,2,2,9,0,1,1,2,5,16
1111,0,1,1,4,0,2,8,0,2,0,5,1,0,0,3,2,8,2,0,0,3,2,5,3
1112,0,4,0,4,0,1,5,3,9,0,5,1,4,0,0,2,8,2,3,2,5,3,5,12
1113,0,1,1,4,0,1,10,3,6,2,6,1,3,0,0,2,8,11,3,2,5,3,5,11
1114,4,1,1,4,0,1,3,3,6,2,6,1,3,0,3,2,8,2,0,1,3,1,5,1
1115,4,2,1,4,0,1,0,3,9,2,5,1,0,0,3,2,1,2,0,0,0,2,5,9
1116,2,1,1,4,0,3,0,3,2,6,5,7,0,0,3,2,8,2,0,1,4,2,5,16
1117,5,0,1,4,0,3,7,3,7,2,5,7,2,0,3,2,8,2,0,0,1,2,5,0
1118,5,1,1,1,0,2,0,3,6,2,5,7,0,0,3,2,8,7,3,2,5,3,5,1
1119,4,0,1,4,0,2,3,3,7,2,5,1,0,0,3,2,8,2,3,2,5,3,5,16
1120,4,2,1,4,0,1,9,3,7,2,5,1,0,0,3,2,8,3,0,1,1,2,5,14
1121,5,1,1,1,0,2,9,3,7,2,5,7,0,0,3,2,8,2,3,2,5,3,5,13
1122,6,0,2,4,0,2,7,0,9,2,5,7,2,0,3,2,2,2,0,1,1,2,5,12
1123,6,2,1,4,0,3,7,3,2,4,5,7,0,0,3,2,8,2,0,0,1,2,5,1
1124,5,0,2,4,0,2,7,3,7,4,5,1,0,0,3,2,8,2,0,0,0,2,5,9
1125,5,1,1,4,0,3,9,3,7,1,5,1,0,0,3,2,8,2,3,2,5,3,5,0
1126,4,0,1,1,0,4,5,3,9,2,5,7,0,0,3,2,8,9,0,1,3,2,5,11
1127,4,1,1,1,0,2,7,3,6,1,5,7,0,0,3,2,8,2,3,2,5,3,5,10
1128,5,1,1,1,0,0,9,3,4,2,5,7,0,0,3,2,8,2,0,1,0,2,5,12
1129,5,2,1,1,0,2,7,0,9,0,5,7,0,0,3,2,8,3,3,2,5,3,5,10
1130,6,0,1,1,0,2,4,3,6,5,5,1,0,0,3,2,8,2,2,1,1,2,6,10
1131,6,2,1,1,0,1,7,3,7,2,5,1,0,0,3,2,6,2,2,1,0,1,5,9
1132,0,2,1,1,0,2,7,3,2,6,5,1,0,0,3,2,8,2,1,0,0,2,5,1
1133,5,1,1,4,0,2,7,3,4,2,5,1,2,0,3,2,8,4,3,2,5,3,5,11
1134,5,1,1,4,0,3,8,3,1,1,5,1,0,0,3,2,8,2,0,1,0,2,5,9
1135,5,1,1,4,0,3,0,3,0,4,5,1,0,0,3,2,2,2,2,1,0,2,4,7
1136,4,0,1,1,0,4,7,3,7,2,5,1,0,0,3,2,8,9,0,1,4,2,5,16
1137,4,0,1,1,0,2,5,3,7,2,5,1,0,0,3,2,8,3,3,2,5,3,5,14
1138,4,0,1,1,2,2,10,3,4,2,5,1,2,0,3,2,8,2,2,1,0,2,5,1
1139,4,1,1,1,0,1,0,0,7,2,5,1,0,0,3,2,2,2,0,1,3,2,5,8
1140,1,0,2,1,0,3,8,0,6,6,5,0,0,3,3,4,8,2,0,0,0,2,5,13
1141,6,0,1,1,0,1,5,3,7,6,5,1,0,0,3,2,8,7,1,0,3,2,5,0
1142,0,1,1,4,0,3,9,3,6,2,5,0,0,0,3,2,8,2,1,0,4,2,5,1
1143,0,1,1,4,0,4,7,3,6,4,5,0,0,0,3,2,8,2,0,1,1,1,5,11
1144,0,1,1,4,0,1,5,1,7,6,5,0,0,0,3,2,2,2,2,0,0,1,3,15
1145,0,1,1,1,0,2,8,0,7,6,5,0,0,0,3,2,8,6,2,0,3,1,6,0
1146,0,1,1,1,0,2,7,3,7,4,5,0,0,0,3,2,8,2,3,2,5,3,5,12
1147,0,0,1,1,0,0,5,3,7,6,5,0,4,0,3,2,8,2,0,1,4,2,5,1
1148,2,1,1,1,0,2,12,3,9,4,5,7,0,0,3,2,8,11,3,2,5,3,5,10
1149,2,0,1,4,0,0,0,3,2,4,5,7,0,0,3,2,8,2,0,0,0,2,5,11
1150,0,0,1,4,0,2,0,3,6,0,5,0,0,0,3,2,1,2,1,0,1,2,5,10
1151,0,1,1,1,2,0,14,3,2,6,5,0,0,0,3,2,8,8,0,1,0,2,5,12
1152,6,0,1,4,0,2,7,3,7,2,5,1,0,0,3,2,8,2,0,1,0,2,5,13
1153,6,1,1,4,0,1,5,3,7,6,5,1,0,0,3,2,2,5,2,1,4,1,6,3
1154,0,0,1,4,0,1,5,3,12,6,3,0,0,3,3,4,8,2,0,1,0,2,5,0
1155,0,3,1,4,0,2,3,3,6,2,6,0,2,3,3,4,8,7,3,2,5,3,5,3
1156,4,0,1,4,2,4,14,3,7,6,3,1,0,0,2,2,1,2,2,1,4,1,5,0
1157,4,0,1,2,0,4,9,3,6,4,5,1,0,0,2,2,8,2,0,1,4,2,5,12
1158,4,0,1,4,0,2,0,3,7,4,5,0,0,0,3,2,8,11,3,2,5,3,5,10
1159,4,2,1,4,0,4,9,3,7,2,5,0,0,0,3,2,1,2,2,1,4,1,3,1
1160,4,0,1,4,0,1,5,3,6,4,5,0,0,0,3,2,1,3,3,2,5,3,5,1
1161,6,2,1,4,0,1,0,3,7,0,5,1,0,0,3,2,1,2,0,1,3,2,5,2
1162,6,2,0,4,0,2,5,3,2,6,5,1,0,0,3,2,2,3,2,0,1,2,6,10
1163,4,2,1,1,0,2,5,3,6,2,5,7,0,0,3,3,8,2,0,0,0,2,5,1
1164,4,2,1,4,2,2,8,3,6,2,5,7,0,0,3,3,8,2,3,2,5,3,5,0
1165,4,3,1,4,0,2,7,3,7,4,7,7,0,0,3,3,8,11,3,2,5,3,5,7
1166,4,3,1,4,2,2,0,3,9,4,5,7,0,0,3,3,8,2,0,1,1,1,5,13
1167,6,4,0,3,0,1,0,3,9,4,5,7,0,0,3,2,8,2,0,1,0,1,5,13
1168,6,0,1,4,0,2,4,3,7,2,5,7,0,0,3,2,8,2,3,2,5,3,5,10
1169,4,0,1,4,0,4,1,3,7,6,5,7,0,0,0,2,1,9,3,2,5,3,5,12
1170,4,3,1,4,0,0,0,3,6,2,3,7,0,0,0,2,2,2,0,1,0,1,5,16
1171,1,2,1,1,0,1,5,0,12,0,5,2,2,0,3,2,8,2,3,2,5,3,5,11
1172,1,2,1,1,0,1,4,3,7,2,3,2,0,0,3,2,8,2,0,0,1,2,5,10
1173,2,1,1,1,0,2,4,3,7,2,8,7,0,0,3,2,8,7,1,1,4,2,5,1
1174,2,3,1,4,0,2,0,0,2,2,5,7,0,0,3,2,8,1,0,0,0,2,5,3
1175,2,0,1,4,0,2,0,3,6,2,6,0,0,0,3,2,9,2,1,0,0,2,5,1
1176,2,1,1,4,0,3,0,3,7,2,6,0,0,0,3,2,8,1,3,2,5,3,5,16
1177,0,1,1,4,0,3,10,0,9,0,5,7,0,0,3,2,8,2,0,1,4,2,5,13
1178,0,1,1,4,2,3,9,3,6,2,5,7,0,0,3,2,8,2,3,2,5,3,5,4
1179,0,1,1,4,0,6,7,3,6,4,5,7,0,0,3,2,8,2,0,0,3,2,5,2
1180,0,2,1,4,0,2,0,3,6,2,5,7,0,0,3,2,8,2,3,2,5,3,5,19
1181,3,1,1,4,0,1,0,1,2,2,5,0,0,0,3,2,8,2,3,2,5,3,5,1
1182,3,1,1,1,0,2,10,3,6,2,5,0,0,0,3,2,8,2,0,0,4,1,5,10
1183,3,1,1,4,0,1,10,3,6,2,6,0,3,0,3,2,8,2,3,2,5,3,5,13
1184,4,0,1,2,2,2,0,3,6,2,6,0,0,0,3,2,8,2,0,1,1,1,5,12
1185,4,1,2,4,0,3,7,3,6,2,5,0,0,0,3,2,1,2,0,1,3,1,5,0
1186,6,0,1,4,0,1,8,3,7,2,5,1,0,3,3,2,2,3,3,2,5,3,5,11
1187,6,0,1,1,0,1,5,3,9,0,5,1,0,3,3,2,2,2,0,0,1,1,5,16
1188,6,1,1,2,2,3,0,3,2,4,5,1,0,3,3,2,8,2,2,1,4,1,0,3
1189,5,0,1,1,0,0,0,3,7,2,5,1,0,0,3,2,8,2,3,2,5,3,5,12
1190,5,0,1,4,0,3,5,3,1,2,5,1,0,0,3,2,8,2,0,0,1,2,5,11
1191,6,1,1,4,0,2,0,3,7,2,5,1,0,0,3,2,8,2,0,0,1,2,5,1
1192,6,1,1,4,2,2,7,3,4,4,6,1,0,0,3,2,8,2,3,2,5,3,5,3
1193,3,0,1,0,0,2,0,3,7,2,5,1,0,0,3,2,2,2,3,2,5,3,5,1
1194,3,0,1,4,0,2,0,3,7,6,5,1,0,0,3,2,8,2,0,1,1,2,5,1
1195,3,0,1,4,0,3,0,3,2,6,5,1,0,0,3,2,8,2,3,2,5,3,5,0
1196,5,2,1,4,0,0,0,3,2,4,5,0,0,0,3,2,8,2,0,1,1,2,5,17
1197,2,0,1,4,0,1,5,3,7,2,5,1,0,0,3,2,8,2,1,1,4,2,5,3
1198,2,0,1,4,0,4,7,3,7,1,5,1,0,0,3,2,8,2,1,0,4,2,5,10
1199,2,0,1,4,0,3,8,0,1,2,5,0,0,0,3,2,8,2,3,2,5,3,5,3
1200,2,2,1,4,0,0,14,3,7,4,5,0,0,0,3,2,1,2,0,1,0,1,5,0
1201,3,0,1,0,0,2,7,3,6,4,5,1,4,0,3,2,1,2,2,1,0,1,5,12
1202,0,0,1,4,0,2,8,3,2,2,5,7,0,0,3,2,2,2,3,2,5,3,5,1
1203,0,1,2,1,2,4,14,3,6,2,5,7,0,0,3,2,1,2,0,0,3,2,5,10
